50 10
1 2 30
1 3 94
1 4 48
1 5 55
1 6 34
1 7 90
1 8 50
1 9 100
1 10 95
1 11 79
1 12 89
1 13 18
1 14 81
1 15 93
1 16 4
1 17 97
1 18 97
1 19 52
1 20 51
1 21 16
1 22 75
1 23 61
1 24 73
1 25 30
1 26 12
1 27 4
1 28 39
1 29 43
1 30 32
1 31 100
1 32 57
1 33 0
1 34 56
1 35 27
1 36 65
1 37 18
1 38 23
1 39 24
1 40 73
1 41 27
1 42 79
1 43 31
1 44 40
1 45 59
1 46 66
1 47 0
1 48 71
1 49 84
1 50 59
2 3 20
2 4 55
2 5 95
2 6 47
2 7 24
2 8 83
2 9 27
2 10 38
2 11 63
2 12 53
2 13 58
2 14 22
2 15 97
2 16 41
2 17 24
2 18 95
2 19 88
2 20 38
2 21 0
2 22 80
2 23 63
2 24 1
2 25 34
2 26 62
2 27 52
2 28 95
2 29 65
2 30 60
2 31 57
2 32 53
2 33 59
2 34 49
2 35 34
2 36 31
2 37 100
2 38 63
2 39 86
2 40 11
2 41 70
2 42 24
2 43 28
2 44 69
2 45 42
2 46 38
2 47 72
2 48 66
2 49 83
2 50 22
3 4 77
3 5 96
3 6 85
3 7 89
3 8 72
3 9 60
3 10 85
3 11 90
3 12 38
3 13 55
3 14 51
3 15 80
3 16 68
3 17 17
3 18 18
3 19 35
3 20 12
3 21 84
3 22 8
3 23 39
3 24 50
3 25 32
3 26 47
3 27 12
3 28 62
3 29 34
3 30 74
3 31 25
3 32 31
3 33 91
3 34 75
3 35 16
3 36 66
3 37 46
3 38 14
3 39 46
3 40 25
3 41 90
3 42 20
3 43 39
3 44 77
3 45 14
3 46 59
3 47 43
3 48 33
3 49 33
3 50 28
4 5 82
4 6 43
4 7 40
4 8 68
4 9 43
4 10 5
4 11 14
4 12 32
4 13 26
4 14 3
4 15 22
4 16 58
4 17 6
4 18 45
4 19 83
4 20 19
4 21 71
4 22 68
4 23 59
4 24 7
4 25 66
4 26 18
4 27 38
4 28 11
4 29 55
4 30 88
4 31 95
4 32 9
4 33 91
4 34 64
4 35 12
4 36 48
4 37 54
4 38 41
4 39 26
4 40 80
4 41 30
4 42 37
4 43 21
4 44 56
4 45 46
4 46 1
4 47 7
4 48 88
4 49 10
4 50 39
5 6 93
5 7 29
5 8 81
5 9 31
5 10 56
5 11 9
5 12 71
5 13 53
5 14 21
5 15 27
5 16 93
5 17 65
5 18 89
5 19 29
5 20 20
5 21 5
5 22 9
5 23 38
5 24 4
5 25 40
5 26 86
5 27 1
5 28 23
5 29 36
5 30 45
5 31 9
5 32 16
5 33 84
5 34 21
5 35 26
5 36 20
5 37 82
5 38 2
5 39 52
5 40 2
5 41 13
5 42 85
5 43 55
5 44 20
5 45 91
5 46 34
5 47 36
5 48 88
5 49 14
5 50 36
6 7 29
6 8 78
6 9 17
6 10 53
6 11 0
6 12 27
6 13 11
6 14 34
6 15 18
6 16 95
6 17 96
6 18 5
6 19 76
6 20 61
6 21 8
6 22 7
6 23 10
6 24 17
6 25 22
6 26 29
6 27 64
6 28 59
6 29 32
6 30 63
6 31 41
6 32 75
6 33 58
6 34 30
6 35 67
6 36 44
6 37 22
6 38 68
6 39 7
6 40 3
6 41 2
6 42 61
6 43 69
6 44 57
6 45 13
6 46 13
6 47 64
6 48 7
6 49 58
6 50 63
7 8 31
7 9 21
7 10 96
7 11 94
7 12 81
7 13 35
7 14 13
7 15 42
7 16 94
7 17 91
7 18 69
7 19 3
7 20 65
7 21 70
7 22 56
7 23 44
7 24 14
7 25 69
7 26 60
7 27 76
7 28 51
7 29 1
7 30 54
7 31 57
7 32 82
7 33 98
7 34 57
7 35 50
7 36 8
7 37 82
7 38 53
7 39 56
7 40 7
7 41 52
7 42 37
7 43 58
7 44 36
7 45 40
7 46 81
7 47 27
7 48 92
7 49 73
7 50 39
8 9 96
8 10 28
8 11 76
8 12 69
8 13 14
8 14 3
8 15 70
8 16 86
8 17 68
8 18 44
8 19 31
8 20 34
8 21 68
8 22 17
8 23 98
8 24 16
8 25 37
8 26 60
8 27 23
8 28 51
8 29 5
8 30 27
8 31 9
8 32 94
8 33 21
8 34 29
8 35 89
8 36 36
8 37 28
8 38 45
8 39 14
8 40 53
8 41 86
8 42 73
8 43 3
8 44 5
8 45 83
8 46 24
8 47 39
8 48 45
8 49 13
8 50 95
9 10 51
9 11 53
9 12 3
9 13 5
9 14 31
9 15 44
9 16 80
9 17 34
9 18 5
9 19 8
9 20 93
9 21 41
9 22 85
9 23 51
9 24 41
9 25 89
9 26 33
9 27 10
9 28 28
9 29 65
9 30 95
9 31 81
9 32 30
9 33 88
9 34 62
9 35 32
9 36 85
9 37 34
9 38 99
9 39 89
9 40 11
9 41 16
9 42 8
9 43 24
9 44 100
9 45 99
9 46 16
9 47 61
9 48 47
9 49 56
9 50 14
10 11 77
10 12 69
10 13 34
10 14 93
10 15 79
10 16 86
10 17 62
10 18 51
10 19 90
10 20 71
10 21 38
10 22 61
10 23 10
10 24 80
10 25 56
10 26 61
10 27 69
10 28 26
10 29 94
10 30 39
10 31 22
10 32 91
10 33 49
10 34 13
10 35 90
10 36 51
10 37 87
10 38 24
10 39 6
10 40 1
10 41 71
10 42 72
10 43 32
10 44 28
10 45 93
10 46 39
10 47 76
10 48 0
10 49 24
10 50 77
11 12 57
11 13 10
11 14 15
11 15 94
11 16 15
11 17 25
11 18 51
11 19 96
11 20 71
11 21 18
11 22 52
11 23 43
11 24 10
11 25 44
11 26 55
11 27 80
11 28 10
11 29 91
11 30 37
11 31 84
11 32 98
11 33 33
11 34 84
11 35 98
11 36 50
11 37 20
11 38 37
11 39 89
11 40 17
11 41 82
11 42 53
11 43 51
11 44 72
11 45 74
11 46 27
11 47 85
11 48 48
11 49 23
11 50 84
12 13 46
12 14 75
12 15 24
12 16 48
12 17 72
12 18 16
12 19 39
12 20 0
12 21 26
12 22 87
12 23 72
12 24 11
12 25 94
12 26 11
12 27 58
12 28 53
12 29 54
12 30 60
12 31 68
12 32 83
12 33 6
12 34 64
12 35 97
12 36 80
