20 2
1 2 58
1 3 68
1 4 52
1 5 27
1 6 25
1 7 88
1 8 87
1 9 47
1 10 54
1 11 79
1 12 100
1 13 23
1 14 55
1 15 24
1 16 58
1 17 73
1 18 53
1 19 54
1 20 14
2 3 26
2 4 23
2 5 46
2 6 53
2 7 83
2 8 7
2 9 54
2 10 63
2 11 36
2 12 81
2 13 7
2 14 68
2 15 63
2 16 66
2 17 34
2 18 50
2 19 31
2 20 67
3 4 4
3 5 76
3 6 46
3 7 40
3 8 54
3 9 60
3 10 7
3 11 57
3 12 31
3 13 65
3 14 65
3 15 4
3 16 68
3 17 69
3 18 36
3 19 83
3 20 75
4 5 86
4 6 59
4 7 38
4 8 66
4 9 1
4 10 28
4 11 98
4 12 42
4 13 92
4 14 52
4 15 82
4 16 64
4 17 36
4 18 17
4 19 20
4 20 44
5 6 54
5 7 33
5 8 37
5 9 61
5 10 3
5 11 66
5 12 52
5 13 24
5 14 38
5 15 38
5 16 78
5 17 95
5 18 95
5 19 15
5 20 76
6 7 8
6 8 38
6 9 53
6 10 28
6 11 0
6 12 6
6 13 19
6 14 83
6 15 34
6 16 98
6 17 79
6 18 100
6 19 92
6 20 51
7 8 82
7 9 27
7 10 44
7 11 53
7 12 13
7 13 6
7 14 53
7 15 41
7 16 49
7 17 17
7 18 75
7 19 51
7 20 36
8 9 20
8 10 93
8 11 76
8 12 18
8 13 75
8 14 34
8 15 78
8 16 93
8 17 71
8 18 61
8 19 65
8 20 11
9 10 61
9 11 33
9 12 51
9 13 73
9 14 95
9 15 56
9 16 58
9 17 46
9 18 46
9 19 6
9 20 69
10 11 46
10 12 15
10 13 54
10 14 44
10 15 54
10 16 29
10 17 15
10 18 11
10 19 8
10 20 63
11 12 7
11 13 98
11 14 92
11 15 59
11 16 65
11 17 94
11 18 68
11 19 36
11 20 18
12 13 50
12 14 30
12 15 16
12 16 19
12 17 90
12 18 4
12 19 24
12 20 11
13 14 48
13 15 76
13 16 15
13 17 85
13 18 72
13 19 47
13 20 4
14 15 62
14 16 100
14 17 93
14 18 50
14 19 95
14 20 25
15 16 73
15 17 87
15 18 3
15 19 65
15 20 13
16 17 20
16 18 39
16 19 67
16 20 63
17 18 16
17 19 62
17 20 4
18 19 86
18 20 9
19 20 97
