100 2
1 2 16
1 3 56
1 4 28
1 5 66
1 6 47
1 7 36
1 8 2
1 9 76
1 10 80
1 11 46
1 12 77
1 13 24
1 14 75
1 15 70
1 16 13
1 17 27
1 18 3
1 19 94
1 20 22
1 21 25
1 22 79
1 23 32
1 24 33
1 25 15
1 26 26
1 27 93
1 28 79
1 29 6
1 30 7
1 31 91
1 32 84
1 33 65
1 34 20
1 35 52
1 36 16
1 37 75
1 38 52
1 39 79
1 40 63
1 41 86
1 42 24
1 43 48
1 44 100
1 45 83
1 46 8
1 47 15
1 48 58
1 49 71
1 50 77
1 51 60
1 52 7
1 53 84
1 54 10
1 55 66
1 56 29
1 57 80
1 58 74
1 59 62
1 60 50
1 61 27
1 62 86
1 63 81
1 64 81
1 65 6
1 66 80
1 67 71
1 68 84
1 69 57
1 70 79
1 71 45
1 72 21
1 73 8
1 74 60
1 75 25
1 76 16
1 77 81
1 78 100
1 79 71
1 80 8
1 81 36
1 82 17
1 83 33
1 84 62
1 85 36
1 86 28
1 87 18
1 88 89
1 89 62
1 90 65
1 91 6
1 92 6
1 93 55
1 94 1
1 95 6
1 96 62
1 97 90
1 98 55
1 99 81
1 100 9
2 3 70
2 4 21
2 5 20
2 6 44
2 7 99
2 8 0
2 9 44
2 10 15
2 11 43
2 12 3
2 13 60
2 14 40
2 15 33
2 16 2
2 17 19
2 18 27
2 19 45
2 20 6
2 21 55
2 22 43
2 23 8
2 24 39
2 25 86
2 26 13
2 27 28
2 28 6
2 29 81
2 30 39
2 31 6
2 32 38
2 33 38
2 34 99
2 35 95
2 36 68
2 37 8
2 38 70
2 39 53
2 40 14
2 41 46
2 42 63
2 43 81
2 44 55
2 45 34
2 46 62
2 47 54
2 48 43
2 49 95
2 50 68
2 51 65
2 52 29
2 53 44
2 54 29
2 55 97
2 56 26
2 57 80
2 58 70
2 59 50
2 60 15
2 61 30
2 62 89
2 63 11
2 64 50
2 65 89
2 66 50
2 67 78
2 68 88
2 69 64
2 70 56
2 71 19
2 72 4
2 73 91
2 74 29
2 75 60
2 76 51
2 77 49
2 78 28
2 79 5
2 80 13
2 81 73
2 82 32
2 83 53
2 84 54
2 85 16
2 86 2
2 87 5
2 88 28
2 89 50
2 90 27
2 91 72
2 92 67
2 93 79
2 94 3
2 95 67
2 96 59
2 97 34
2 98 64
2 99 12
2 100 62
3 4 100
3 5 15
3 6 55
3 7 79
3 8 43
3 9 27
3 10 64
3 11 100
3 12 31
3 13 37
3 14 52
3 15 0
3 16 97
3 17 21
3 18 63
3 19 41
3 20 10
3 21 11
3 22 97
3 23 68
3 24 10
3 25 77
3 26 11
3 27 35
3 28 99
3 29 72
3 30 64
3 31 37
3 32 62
3 33 45
3 34 83
3 35 75
3 36 30
3 37 17
3 38 74
3 39 50
3 40 97
3 41 93
3 42 98
3 43 1
3 44 89
3 45 39
3 46 75
3 47 62
3 48 71
3 49 67
3 50 99
3 51 62
3 52 6
3 53 75
3 54 20
3 55 96
3 56 59
3 57 4
3 58 85
3 59 10
3 60 29
3 61 52
3 62 27
3 63 66
3 64 5
3 65 94
3 66 9
3 67 85
3 68 33
3 69 46
3 70 84
3 71 44
3 72 78
3 73 9
3 74 54
3 75 62
3 76 55
3 77 53
3 78 21
3 79 21
3 80 33
3 81 72
3 82 19
3 83 77
3 84 8
3 85 41
3 86 9
3 87 92
3 88 25
3 89 52
3 90 63
3 91 53
3 92 95
3 93 11
3 94 81
3 95 92
3 96 11
3 97 1
3 98 77
3 99 100
3 100 13
4 5 32
4 6 80
4 7 92
4 8 19
4 9 85
4 10 45
4 11 24
4 12 3
4 13 57
4 14 33
4 15 38
4 16 83
4 17 69
4 18 19
4 19 98
4 20 65
4 21 94
4 22 49
4 23 87
4 24 78
4 25 47
4 26 72
4 27 12
4 28 43
4 29 43
4 30 65
4 31 57
4 32 90
4 33 67
4 34 56
4 35 49
4 36 70
4 37 79
4 38 49
4 39 60
4 40 81
4 41 10
4 42 51
4 43 65
4 44 22
4 45 59
