20 15
1 2 87
1 3 95
1 4 4
1 5 68
1 6 29
1 7 11
1 8 28
1 9 24
1 10 31
1 11 92
1 12 23
1 13 5
1 14 71
1 15 69
1 16 91
1 17 83
1 18 27
1 19 47
1 20 67
2 3 53
2 4 55
2 5 63
2 6 3
2 7 83
2 8 5
2 9 100
2 10 82
2 11 45
2 12 39
2 13 29
2 14 60
2 15 88
2 16 31
2 17 54
2 18 66
2 19 90
2 20 64
3 4 67
3 5 30
3 6 26
3 7 93
3 8 46
3 9 37
3 10 11
3 11 26
3 12 43
3 13 56
3 14 67
3 15 16
3 16 31
3 17 26
3 18 71
3 19 13
3 20 65
4 5 11
4 6 11
4 7 52
4 8 62
4 9 4
4 10 14
4 11 54
4 12 90
4 13 77
4 14 49
4 15 25
4 16 13
4 17 68
4 18 64
4 19 44
4 20 76
5 6 99
5 7 0
5 8 69
5 9 18
5 10 7
5 11 95
5 12 53
5 13 7
5 14 96
5 15 48
5 16 77
5 17 27
5 18 40
5 19 59
5 20 52
6 7 52
6 8 79
6 9 27
6 10 0
6 11 15
6 12 26
6 13 69
6 14 20
6 15 81
6 16 54
6 17 78
6 18 82
6 19 18
6 20 77
7 8 48
7 9 16
7 10 55
7 11 51
7 12 69
7 13 46
7 14 91
7 15 85
7 16 39
7 17 83
7 18 13
7 19 49
7 20 86
8 9 34
8 10 18
8 11 96
8 12 25
8 13 50
8 14 95
8 15 45
8 16 87
8 17 7
8 18 37
8 19 18
8 20 43
9 10 40
9 11 77
9 12 26
9 13 54
9 14 17
9 15 25
9 16 79
9 17 40
9 18 77
9 19 59
9 20 11
10 11 38
10 12 52
10 13 11
10 14 15
10 15 88
10 16 35
10 17 10
10 18 93
10 19 52
10 20 60
11 12 100
11 13 15
11 14 69
11 15 74
11 16 6
11 17 4
11 18 22
11 19 100
11 20 3
12 13 83
12 14 83
12 15 56
12 16 16
12 17 30
12 18 82
12 19 71
12 20 95
13 14 3
13 15 35
13 16 37
13 17 73
13 18 8
13 19 68
13 20 38
14 15 14
14 16 92
14 17 29
14 18 75
14 19 25
14 20 71
15 16 43
15 17 69
15 18 64
15 19 13
15 20 38
16 17 41
16 18 48
16 19 64
16 20 27
17 18 78
17 19 97
17 20 66
18 19 55
18 20 75
19 20 60
