70 2
1 2 45
1 3 6
1 4 83
1 5 12
1 6 8
1 7 51
1 8 94
1 9 91
1 10 68
1 11 62
1 12 89
1 13 76
1 14 50
1 15 79
1 16 35
1 17 5
1 18 61
1 19 1
1 20 64
1 21 68
1 22 14
1 23 72
1 24 95
1 25 79
1 26 24
1 27 69
1 28 93
1 29 7
1 30 82
1 31 38
1 32 85
1 33 28
1 34 31
1 35 87
1 36 76
1 37 90
1 38 88
1 39 42
1 40 67
1 41 60
1 42 18
1 43 63
1 44 22
1 45 78
1 46 64
1 47 56
1 48 11
1 49 70
1 50 62
1 51 79
1 52 16
1 53 39
1 54 75
1 55 72
1 56 99
1 57 68
1 58 1
1 59 28
1 60 50
1 61 49
1 62 38
1 63 4
1 64 100
1 65 35
1 66 83
1 67 23
1 68 10
1 69 58
1 70 97
2 3 46
2 4 42
2 5 40
2 6 37
2 7 4
2 8 7
2 9 8
2 10 61
2 11 39
2 12 19
2 13 57
2 14 85
2 15 31
2 16 17
2 17 69
2 18 42
2 19 32
2 20 66
2 21 60
2 22 84
2 23 98
2 24 92
2 25 41
2 26 14
2 27 19
2 28 81
2 29 94
2 30 97
2 31 35
2 32 50
2 33 35
2 34 83
2 35 49
2 36 46
2 37 40
2 38 96
2 39 59
2 40 19
2 41 38
2 42 13
2 43 78
2 44 18
2 45 27
2 46 13
2 47 83
2 48 63
2 49 98
2 50 46
2 51 83
2 52 54
2 53 10
2 54 94
2 55 47
2 56 13
2 57 16
2 58 30
2 59 55
2 60 49
2 61 15
2 62 15
2 63 59
2 64 100
2 65 62
2 66 84
2 67 24
2 68 86
2 69 62
2 70 74
3 4 0
3 5 3
3 6 82
3 7 30
3 8 86
3 9 93
3 10 96
3 11 8
3 12 57
3 13 53
3 14 55
3 15 8
3 16 31
3 17 40
3 18 47
3 19 63
3 20 100
3 21 96
3 22 77
3 23 48
3 24 29
3 25 50
3 26 16
3 27 84
3 28 99
3 29 25
3 30 62
3 31 67
3 32 64
3 33 90
3 34 28
3 35 30
3 36 54
3 37 100
3 38 47
3 39 9
3 40 54
3 41 26
3 42 97
3 43 95
3 44 62
3 45 50
3 46 10
3 47 47
3 48 33
3 49 92
3 50 61
3 51 68
3 52 37
3 53 9
3 54 43
3 55 71
3 56 60
3 57 55
3 58 91
3 59 20
3 60 4
3 61 71
3 62 12
3 63 32
3 64 50
3 65 70
3 66 71
3 67 4
3 68 35
3 69 52
3 70 23
4 5 6
4 6 2
4 7 90
4 8 74
4 9 28
4 10 11
4 11 23
4 12 66
4 13 10
4 14 62
4 15 87
4 16 62
4 17 12
4 18 41
4 19 71
4 20 10
4 21 29
4 22 8
4 23 48
4 24 7
4 25 11
4 26 0
4 27 3
4 28 25
4 29 13
4 30 27
4 31 0
4 32 38
4 33 44
4 34 9
4 35 26
4 36 80
4 37 18
4 38 17
4 39 65
4 40 63
4 41 50
4 42 52
4 43 69
4 44 30
4 45 78
4 46 44
4 47 93
4 48 75
4 49 84
4 50 83
4 51 11
4 52 24
4 53 21
4 54 75
4 55 48
4 56 61
4 57 40
4 58 96
4 59 47
4 60 29
4 61 63
4 62 74
4 63 93
4 64 63
4 65 8
4 66 52
4 67 5
4 68 37
4 69 57
4 70 59
5 6 100
5 7 62
5 8 13
5 9 88
5 10 73
5 11 58
5 12 78
5 13 41
5 14 42
5 15 75
5 16 26
5 17 32
5 18 80
5 19 18
5 20 3
5 21 88
5 22 90
5 23 33
5 24 78
5 25 98
5 26 20
5 27 65
5 28 81
5 29 51
5 30 64
5 31 29
5 32 71
5 33 18
5 34 41
5 35 62
5 36 86
5 37 79
5 38 93
5 39 24
5 40 76
5 41 65
5 42 7
5 43 91
5 44 18
5 45 28
5 46 83
5 47 85
5 48 98
5 49 90
5 50 62
5 51 29
5 52 64
5 53 23
5 54 87
5 55 66
5 56 44
5 57 5
5 58 71
5 59 71
5 60 47
5 61 5
5 62 49
5 63 73
5 64 47
5 65 75
5 66 60
5 67 32
5 68 9
5 69 60
5 70 48
6 7 55
6 8 84
6 9 11
6 10 78
6 11 57
6 12 8
6 13 28
6 14 75
6 15 58
6 16 21
6 17 45
6 18 95
6 19 94
6 20 65
6 21 24
6 22 14
6 23 23
6 24 69
6 25 51
6 26 13
6 27 46
6 28 0
6 29 3
6 30 0
6 31 21
6 32 28
6 33 89
6 34 15
6 35 89
6 36 93
6 37 34
6 38 73
6 39 5
6 40 30
6 41 24
6 42 38
6 43 51
6 44 86
6 45 67
6 46 14
6 47 38
6 48 35
6 49 92
6 50 92
6 51 98
6 52 17
6 53 25
6 54 12
6 55 23
6 56 76
6 57 58
6 58 42
6 59 43
6 60 53
6 61 43
6 62 23
6 63 40
6 64 53
6 65 96
6 66 91
6 67 66
6 68 74
6 69 40
6 70 11
7 8 5
7 9 23
7 10 81
7 11 18
7 12 37
7 13 100
7 14 73
7 15 41
7 16 15
7 17 12
7 18 84
7 19 17
7 20 72
7 21 85
7 22 73
7 23 72
7 24 38
7 25 84
7 26 99
7 27 87
7 28 58
7 29 73
7 30 78
7 31 18
7 32 93
7 33 37
7 34 42
7 35 87
7 36 85
7 37 99
7 38 80
7 39 90
7 40 67
7 41 40
7 42 13
7 43 79
7 44 45
7 45 64
7 46 58
7 47 46
7 48 34
7 49 67
7 50 29
7 51 1
7 52 69
7 53 30
7 54 45
7 55 98
7 56 50
7 57 38
7 58 65
7 59 40
7 60 52
7 61 36
7 62 99
7 63 35
7 64 12
7 65 92
7 66 69
7 67 58
7 68 87
7 69 62
7 70 34
8 9 31
8 10 81
8 11 55
8 12 95
8 13 60
8 14 100
8 15 98
8 16 61
8 17 80
8 18 86
8 19 86
8 20 45
8 21 48
8 22 39
8 23 78
8 24 46
8 25 90
8 26 81
8 27 76
8 28 3
8 29 55
8 30 76
8 31 85
8 32 32
8 33 65
8 34 72
8 35 71
8 36 39
8 37 18
8 38 24
8 39 23
8 40 56
8 41 83
8 42 72
8 43 79
8 44 19
8 45 43
8 46 41
8 47 80
8 48 30
8 49 20
8 50 76
8 51 76
8 52 22
8 53 91
8 54 10
8 55 69
8 56 97
8 57 53
8 58 80
8 59 100
8 60 87
8 61 5
8 62 89
8 63 46
8 64 48
8 65 28
8 66 49
8 67 32
8 68 38
8 69 86
8 70 94
9 10 92
9 11 14
9 12 2
9 13 28
9 14 95
9 15 82
9 16 47
9 17 74
9 18 68
9 19 69
9 20 90
9 21 87
9 22 65
9 23 60
9 24 53
9 25 61
9 26 49
9 27 56
9 28 55
9 29 79
9 30 30
9 31 26
9 32 45
9 33 4
9 34 69
9 35 48
9 36 71
9 37 68
9 38 3
9 39 95
9 40 2
9 41 30
9 42 86
9 43 80
9 44 47
9 45 82
9 46 13
9 47 25
9 48 49
9 49 68
9 50 46
9 51 33
9 52 40
9 53 96
9 54 13
9 55 58
9 56 36
9 57 11
9 58 94
9 59 18
9 60 99
9 61 68
9 62 82
9 63 87
9 64 46
9 65 37
9 66 75
9 67 98
9 68 27
9 69 100
9 70 57
10 11 71
10 12 8
10 13 31
10 14 54
10 15 94
10 16 4
10 17 12
10 18 20
10 19 31
10 20 70
10 21 8
10 22 92
10 23 35
10 24 51
10 25 73
10 26 66
10 27 98
10 28 67
10 29 80
10 30 93
10 31 52
10 32 10
10 33 40
10 34 21
10 35 17
10 36 3
10 37 99
10 38 78
10 39 92
10 40 16
10 41 78
10 42 35
10 43 10
10 44 60
10 45 56
10 46 57
10 47 70
10 48 82
10 49 56
10 50 5
10 51 19
10 52 40
10 53 71
10 54 56
10 55 70
10 56 52
10 57 43
10 58 88
10 59 92
10 60 40
10 61 31
10 62 29
10 63 26
10 64 12
10 65 100
10 66 38
10 67 48
10 68 78
10 69 23
10 70 56
11 12 98
11 13 28
11 14 26
11 15 6
11 16 46
11 17 10
11 18 97
11 19 53
11 20 20
11 21 100
11 22 64
11 23 24
11 24 65
11 25 48
11 26 6
11 27 76
11 28 53
11 29 77
11 30 27
11 31 12
